epoch,train_loss,val_loss
1,1.830415301322937,0.8259741067886353
2,0.858664402961731,1.0175485610961914
3,0.8663816690444947,0.8787420392036438
4,0.8752595639228821,0.8800660967826843
5,0.8720715522766114,0.8926258683204651
6,0.8510945820808411,0.8412163257598877
7,0.875227427482605,0.926767110824585
8,0.8518427991867066,0.8778045773506165
9,0.8788337993621826,0.8563581705093384
10,0.8532386350631714,0.9517123699188232
11,0.8578287434577941,0.89734947681427
12,0.8623874902725219,0.8949054479598999
13,0.8665133857727051,0.8555098176002502
14,0.8559580540657044,0.8611061573028564
15,0.8485926747322082,0.9039677977561951
16,0.8593145704269409,0.9146726131439209
17,0.8663241672515869,0.8166711926460266
18,0.8695520949363709,0.8338944315910339
19,0.8379653787612915,0.8817738890647888
20,0.8602030944824218,0.9096890091896057
21,0.8685786366462708,0.8683791160583496
22,0.8495362162590027,0.8837203979492188
23,0.8659459471702575,0.8539354801177979
24,0.847813241481781,0.892223060131073
25,0.8738126802444458,0.8275941610336304
26,0.8385480570793152,0.9194837212562561
27,0.8544206666946411,0.8919201493263245
28,0.8674078559875489,0.8841673135757446
29,0.847350537776947,0.9383354187011719
30,0.8477904224395751,0.8920767903327942
31,0.8640501141548157,0.8667060136795044
32,0.8528401517868042,0.9176491498947144
33,0.8723287606239318,0.839860737323761
34,0.8461187052726745,0.981548011302948
35,0.8653899216651917,0.9385355114936829
36,0.8538456201553345,0.881653904914856
37,0.8678411030769348,0.8951370716094971
38,0.8589321970939636,0.9308977723121643
39,0.8413033819198609,0.8741645812988281
40,0.8611106204986573,0.8857389688491821
41,0.8420911073684693,0.8988928198814392
42,0.8505800557136536,0.8567060828208923
43,0.8690080642700195,0.8703582286834717
44,0.8302157282829284,0.868417501449585
45,0.8540955662727356,0.8733428716659546
46,0.8405702972412109,0.881807267665863
47,0.8683879828453064,0.8752226829528809
48,0.8478368139266967,0.824038565158844
49,0.8467604541778564,0.9041399955749512
50,0.8547624158859253,0.8564823269844055
