delta_sd,seed,posterior_mean,posterior_std,ci_low,ci_high,interval_width,observed_concurrent_rate,observed_external_rate,theta_empirical_logit_concurrent,theta_empirical_logit_external,theta_empirical_logit_pooled,theta_offset_mle_concurrent,theta_offset_mle_pooled,delta_offset_mle_external,final_train_loss,final_val_loss
0.5,20260401,-1.5798081159591675,0.8752864599227905,-3.3149648620059122,0.16089138888105178,3.475856250886964,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8555921792984009,0.8760836720466614
0.5,20261401,-1.6825346946716309,0.8766568899154663,-3.3929971823894594,0.06279208895362522,3.4557892713430847,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8652717471122742,0.8496122360229492
0.5,20262401,-1.5445836782455444,0.8672661185264587,-3.2897144120291206,0.13389773629689466,3.4236121483260153,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8435329461097717,0.8810697793960571
0.5,20263401,-1.5596405267715454,0.8379474878311157,-3.198613403449967,0.061454444278718746,3.2600678477286857,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8650522446632385,0.8653052449226379
0.5,20264401,-1.4975125789642334,0.8653352856636047,-3.2075728210923335,0.1916879674804356,3.3992607885727693,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8701092386245728,0.8048808574676514
0.75,20260401,-1.5955063104629517,0.8738540410995483,-3.327823447652349,0.1423445147157982,3.470167962368147,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8556348013877869,0.8740763664245605
0.75,20261401,-1.640768051147461,0.8785108923912048,-3.354847919534245,0.10824984608796259,3.4630977656222077,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8607231307029725,0.8561723232269287
0.75,20262401,-1.604737639427185,0.8503260016441345,-3.3157811213584014,0.04095836964424526,3.3567394910026467,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8401003098487854,0.889382004737854
0.75,20263401,-1.5139729976654053,0.8350059390068054,-3.147192388822976,0.10143124684717242,3.2486236356701483,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8628460884094238,0.8661237359046936
0.75,20264401,-1.5623217821121216,0.8734286427497864,-3.288375972953189,0.14267761529707929,3.4310535882502684,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.870594208240509,0.8017538189888
