method,n_runs,success_rate,mean_fit_time_sec,median_fit_time_sec,sd_fit_time_sec,speedup_vs_commensurate
Commensurate,600,1.0,1.0742366032950006,1.0690316514999836,0.03288520701293165,1.0
IW,600,1.0,0.001221706976663152,0.001041727500023626,0.0008135526537444111,879.2915353803273
NPE,600,1.0,0.01199261489666777,0.011632997999981853,0.003131111905557413,89.57484356422422
PSPower,600,1.0,0.008499315448333485,0.006282886000008148,0.004620487868436184,126.39095581581608
