method,n_runs,mean_fit_time_ms,median_fit_time_ms,speedup_vs_commensurate
IW,600,1.2217069766631519,1.041727500023626,879.2915353803273
PSPower,600,8.499315448333485,6.282886000008148,126.39095581581608
NPE,600,11.99261489666777,11.632997999981853,89.57484356422422
Commensurate,600,1074.2366032950006,1069.0316514999836,1.0
